ID,gender,age_years,handedness_LG,RT_II_hs_ts,RT_II_hs_td,RT_II_hd_ts,RT_II_hd_td,RT_EE_hs_ts,RT_EE_hs_td,RT_EE_hd_ts,RT_EE_hd_td,MT_II_hs_ts,MT_II_hs_td,MT_II_hd_ts,MT_II_hd_td,MT_EE_hs_ts,MT_EE_hs_td,MT_EE_hd_ts,MT_EE_hd_td
1,w,19,81.8181818181818,524.443181818182,580.869767441861,540.188095238095,501.697826086957,499.015909090909,549.113333333333,541.083333333333,517.427659574468,1245.62093023256,1267.95454545455,1232.52380952381,1225.50638297872,626.945454545455,613.338636363636,616.363414634146,622.297872340425
2,w,22,80,567.676595744681,584.165957446809,543.459574468085,591.33829787234,425.411904761905,465.030434782609,478.028947368421,495.17,931.516666666667,932.327659574468,914.182978723404,891.708510638298,357.280952380952,373.82,371.7,372.0725
3,w,22,100,703.168888888889,731.642553191489,697.674468085106,678.064583333333,470.347916666667,510.322222222222,536.639130434782,505.395744680851,1028.02127659574,1003.44255319149,955.31914893617,981.779166666667,346.495833333333,348.021739130435,343.131914893617,346.314893617021
4,w,24,80,515.968085106383,559.232558139535,566.077777777778,555.95652173913,435.270212765957,499.428260869565,512.444186046512,536.342222222222,359.025531914894,345.929545454545,383.671739130435,373.834042553191,346.539583333333,354.519565217391,359.329545454545,348.465217391304
5,w,23,-20,579.158695652174,624.563414634146,612.197674418604,602.718181818182,531.318604651163,589.265909090909,623.506976744186,547.68085106383,1074.53617021277,1024.09,1027.53636363636,1045.77954545455,533.784090909091,502.677272727273,520.045454545455,499.182978723404
6,w,21,63.6363636363636,617.3225,665.419047619048,612.384210526316,586.17,476.807894736842,579.6875,647.1,615.0225,688.0625,646.109523809524,656.521052631579,636.129268292683,471.168421052632,473.753846153846,485.807317073171,466.238461538461
7,w,21,-80,910.288372093023,932.097872340426,815.3475,849.475,453.318604651163,514.295238095238,605.38,669.046341463415,635.993181818182,633.639130434782,551.305128205128,561.9525,503.825581395349,492.948780487805,510.570731707317,506.075609756097
8,w,21,100,614.166666666667,622.848780487805,611.185714285714,618.585714285714,468.7025,559.0375,579.722857142857,517.986842105263,703.286666666666,655.752380952381,634.740476190476,651.011904761905,359.12,373.169230769231,370.38,380.086842105263
9,w,26,100,515.363636363636,639.241463414634,551.761363636364,504.486046511628,402.359090909091,496.989189189189,456.490243902439,433.168292682927,480.204545454545,531.331707317073,476.65,477.661363636364,279.444444444444,285.654054054054,285.9225,274.782926829268
10,m,23,100,477.508333333334,489.891666666667,486.116666666667,469.065957446809,397.968292682927,424.46511627907,409.512195121951,404.116666666667,447.64375,450.94375,435.589583333333,428.23125,218.760975609756,218.936585365854,213.965,216.217073170732
11,w,19,100,571.676086956522,633.304444444444,570.923913043478,527.582608695652,458.55,517.679545454545,517.516666666667,456.108510638298,720.274468085106,671.486956521739,613.008695652174,632.797826086956,456.786363636364,438.704545454546,440.5325,445.585106382979
